Title,Runtime,Tomato Meter,Audience Score,No. Reviews,Genre,Embedding-0,Embedding-1,Embedding-2,Embedding-3,Embedding-4,Embedding-5,Embedding-6,Embedding-7,Embedding-8,Embedding-9,Embedding-10,Embedding-11,Embedding-12,Embedding-13,Embedding-14,Embedding-15,Embedding-16,Embedding-17,Embedding-18,Embedding-19
The Color Purple,141,0.83,0.95,232,Musical,0.006504733,-0.0039317477,0.009017082,-0.017082091,-0.0022237783,-0.019914683,0.012251012,-0.006608107,0.008351676,-0.007760574,0.008279513,0.0031251847,-0.00044019596,0.005657728,-0.010295456,0.0056587383,0.007126823,0.010052538,-0.0022518348,-0.011681482
Argylle,139,0.33,0.71,249,Action,-0.00021909177,0.003521239,-0.0021868744,-0.01856785,0.005129874,0.0009419415,0.0055862465,-0.0005643796,-0.0091240015,0.00707492,0.00628319,-0.023086166,-0.0009991492,-0.0039628954,0.0035604541,-0.0074475184,-0.0018522885,-0.0021027853,0.0007609191,-0.008337325
The Beekeeper 2024,105,0.7,0.92,164,Action,-0.002085364,-0.012180905,-0.010434888,0.0099915285,0.0014367545,-0.016964275,-0.007768132,-0.008554534,0.001718134,0.0033777854,0.010042479,0.002104149,-0.009732421,0.010380412,0.010181601,-0.009168103,0.0051131384,-0.008296759,-0.009170641,-0.0074911043
Aquaman And The Lost Kingdom,124,0.34,0.81,201,Action,-0.0038075838,0.01782863,-0.0045887353,-0.010085246,-0.0015349558,-0.008346628,-0.0055057383,0.004929329,0.0056611286,-4.7658385e-05,0.0051771714,-0.001993819,0.012275388,0.001283976,-0.005048326,0.0008468477,0.006750019,0.004896997,-0.010121825,0.0055271527
Lift 2024,104,0.28,0.31,69,Action,-0.0039811293,-0.0051524285,0.012534025,-0.01445732,0.00745955,-0.0031599514,-0.012773904,0.015674245,0.017079866,-0.003407965,0.006408566,-0.0038150821,0.0022451964,-0.007045212,-0.006072803,0.0012495937,0.008809464,0.0036438026,0.01420632,0.020739296
Napoleon 2023,158,0.58,0.59,328,Biography,0.005341471,-0.0010786173,0.0026766346,-0.009863853,-0.017361443,-0.0084645245,0.00034114768,-0.032351088,0.008261668,-0.0019992688,0.011454771,0.00044375387,0.0011503078,0.0057913116,0.00770128,-0.0057205046,-0.01247372,0.0040834607,-0.0080657005,0.007022591
Rebel Moon Part 1 A Child Of Fire,135,0.22,0.58,172,Sci-fi,0.0027475636,0.012862975,-0.008716668,-0.010358718,0.0032598726,-0.0031718805,0.004660613,-0.007345316,-0.0045065545,-0.0038756835,0.0018448576,0.003381911,0.0016513381,0.008203607,0.005857688,0.0010520488,0.0073357285,-0.008310245,-0.000443371,-0.00966621
Uncharted 2022,116,0.4,0.9,264,Adventure,-0.007612628,0.011647934,0.008785317,-0.011335711,0.0009961165,0.0033462911,-0.014664593,0.0056994096,0.004211781,-0.003543355,0.015828717,-0.0057886327,0.004503785,-0.0019556987,-0.0017805623,0.0043764375,-0.0061833877,0.013803119,0.0069711492,0.0005170638
Fast X,141,0.56,0.84,313,Action,0.0012463726,0.006690969,0.016505202,-0.024463654,0.0029713013,-0.01643309,-0.0026768812,0.00042439214,0.001988838,0.0008448772,-0.012034692,-0.0045300415,0.0015182056,0.010763436,0.009218174,0.007910798,-0.0056308173,0.0015181411,0.00083446346,-0.007245075
Dangerous Waters 2023,101,0.29,0.38,14,Mystery & thriller,-0.013237548,-0.021156618,-0.010636919,-0.016044172,-0.008968127,-0.0022500977,-0.0078265695,0.012127828,0.0002654555,0.0071450286,-0.0045113554,0.011168449,-0.015667822,-0.006008998,0.0044305134,0.016872216,0.006055262,-0.0069287894,-0.012503771,-0.00085699896
Transformers Rise Of The Beasts,127,0.52,0.91,232,Action,0.0013954605,0.00970694,0.009583183,-0.008797074,0.0031320197,-0.0055124154,0.020201648,-0.007142446,-0.00013138782,0.00031707884,-0.017856812,-0.0029356454,0.008001102,0.005179463,-0.0017982911,0.009805383,-0.0024400179,0.00026850365,-0.0072138617,-0.002345845
Star Wars The Rise Of Skywalker,142,0.51,0.86,527,Sci-fi,0.011850314,-0.020909987,-0.0036965548,-0.0013492946,-0.0052566263,-0.010738664,0.007926273,-0.0042624352,0.0049747936,-0.0050332374,-0.0066306116,-0.0065151565,0.003498961,-0.011268055,0.01062539,-0.0030994534,-0.008731838,-0.008928485,-0.0025320493,-0.012611082
Bullet Train 2022,126,0.54,0.76,340,Action,-0.0034343775,0.0071972073,0.0047518527,-0.001830762,0.007666373,0.002174488,0.011045108,-0.00390705,0.014490932,-0.0067981556,-0.000109199624,0.020292938,-0.0027817956,0.0015271228,0.00967316,0.0030094266,0.0059351674,-0.007901127,-0.0069600665,-0.00064279436
Retribution 2023,90,0.29,0.66,93,Action,-0.016137706,0.006949553,0.015916321,0.0069244937,0.007674423,-0.019091288,0.00582097,0.004346258,-0.005776012,0.012176519,-0.0036485493,0.0035926104,-0.0059257904,0.0074313045,0.0032103062,0.0023472612,0.004365606,0.004171043,-0.0017560881,0.0037946508
The Bricklayer 2023,110,0.55,0.42,20,Action,0.007780974,-0.010672151,0.005784818,-0.00025388287,0.0034627921,-0.009721166,0.0028243463,-0.015659515,-0.00831414,-0.008909965,0.026527848,-0.0019559271,0.0070048436,0.00639874,0.0038777404,-0.0058567277,5.38826e-05,-0.000104235485,-0.0003033288,-0.00060801936
Hypnotic 2023,92,0.32,0.62,114,Mystery & thriller,-0.0064397706,-0.008645707,0.010097799,-0.0043342104,-0.011433309,-0.013077378,0.005240022,-0.006479536,-0.000808708,0.0011735812,-3.998708e-05,0.011772388,0.0064507113,-0.0033026692,-0.013676437,0.001905735,-0.004037113,-0.002798134,-0.017161258,-0.019363275
Ghosted 2023,116,0.25,0.55,118,Action,0.002659624,-0.00070637336,-0.010904595,0.009933305,-0.004850182,-0.007328196,0.002705579,-0.008585362,0.0045993524,0.0010332707,-0.010587641,0.0023036276,-0.021006526,-0.0008652255,-0.015726611,0.0010946437,0.0030276538,0.003503523,-0.0041976143,-0.016877646
Eternals,157,0.47,0.77,412,Action,0.011221118,-0.007658745,-0.0025355036,-0.010523941,0.008578753,-0.014406221,0.005454179,0.005782317,-0.00037781644,-0.002940267,0.017794576,0.017798293,-0.0022540695,-0.010478433,0.008281132,0.018153574,-0.010340079,-0.005133192,-0.0030633968,-0.00522714
The Gray Man 2022,129,0.45,0.9,273,Action,0.0030489247,-0.006519118,-0.006760005,-0.008580582,-0.0030812602,-0.0045180516,0.0072409734,-0.0037815042,0.005501634,-0.0014220073,-0.004173317,0.00633318,0.010722558,0.0005107112,0.0042083343,0.002665556,-0.0036653944,0.010262485,-0.0014042661,-0.0033893653
Renfield,93,0.58,0.79,301,Horror,0.00440343,-0.0071548475,-0.01853007,0.007270324,0.0071443454,-0.007327272,-0.004393517,0.0074971705,0.004875053,-0.0067726327,-0.024393115,0.0121619245,-0.019439703,0.0014886257,0.01931211,0.004777757,0.006709107,-0.0030352192,0.0032621555,0.012025578
Meg 2 The Trench,116,0.27,0.73,182,Sci-fi,-0.007541982,-0.009811394,-0.008328658,0.00051246735,0.0018872388,-0.008379404,-0.009499937,0.0059740758,-0.008004564,0.011561675,-0.011686082,0.016170004,-0.01418631,0.012021298,-0.004491147,-0.00015997942,-0.0003663633,0.0022986422,0.006466082,-0.011071133
Jurassic World Dominion,147,0.29,0.77,403,Action,0.013169778,0.004951123,-0.015330842,-0.0032230676,0.00055154844,-0.014623438,-0.0007517429,-0.0138430195,-0.008343744,0.00688529,-0.0069370507,-0.006583658,-0.007530266,0.008656603,0.005415591,0.015985748,-0.00801034,0.002358107,0.00200724,-0.0058176136
Ant Man And The Wasp Quantumania,124,0.46,0.82,410,Action,-0.00626477,-0.006024648,-0.0010477931,-0.011796309,-0.00020558767,-0.0059434515,-0.012302795,0.011750874,0.0026601166,-0.007914668,-0.01628437,-0.0071547315,-0.001534499,0.008918767,-0.0029382906,-0.0030897306,0.0015968923,-0.022116771,0.0044700783,0.009256205
65,93,0.36,0.65,128,Sci-fi,0.00058913825,-0.012497153,-0.0002176866,0.0065797,-0.015212653,-0.016511278,0.006021279,-0.0057896674,0.013231191,-0.0080954125,0.011374628,0.007921641,0.018644938,-0.0047156624,0.006985108,0.006813398,0.008056503,-0.0030721975,-0.014396125,0.018160101
Operation Fortune Ruse De Guerre,114,0.51,0.82,151,Action,0.0073382296,-0.007392478,-0.005769904,-0.013047306,0.0050909473,-0.011634095,-0.000974657,-0.007077719,0.0014335625,0.0059623304,-0.00327298,0.011919042,0.00040676928,0.001865327,0.008003963,0.016753415,-0.008369779,-8.310843e-05,0.0054887077,-0.01053882
Batman V Superman Dawn Of Justice,153,0.29,0.63,439,Action,0.00565206,-0.0034976662,-0.005779861,-0.00734421,0.0143104745,0.0026854302,-0.012417642,0.00014214449,-0.0066845315,0.0050649815,0.010795161,-0.008126698,-0.0064908853,-0.0008130912,0.0035516298,0.011811264,-0.009844106,-0.008942625,0.0078566,-0.001125502
Expend4Bles,103,0.14,0.7,124,Action,0.013116427,-0.001964278,0.0025522155,-0.00037252455,0.007969811,-0.018341454,-0.0057011647,-0.013826792,-0.005612039,-0.012977364,0.008134785,0.012745172,-0.0027656346,-0.0018802322,0.0032243747,0.0027867502,0.0012105427,-0.006284781,0.0031857193,-0.010527991
Ava 2020 2,97,0.2,0.29,40,Action,-0.007064293,-0.009669282,-0.009940875,0.0054032644,-0.006505118,-0.0021904376,-0.011201238,0.004666756,0.007754763,0.008933638,-6.494224e-05,-0.0026089086,-0.0038282622,0.0087653035,-0.008338886,-0.014268169,0.003355705,0.00930677,0.0022761994,0.008030303
The Kings Man,131,0.4,0.8,183,Action,-0.0036830562,0.0026068627,0.0038873504,-0.015266463,0.014651698,-0.0144401,-0.005964279,-0.010938858,0.010951645,-0.0022050415,0.006417744,-0.010703886,-0.00028196984,0.00781364,0.011787722,-0.0076361126,0.0130334105,0.004597076,-0.006016528,-0.00443478
The Painter 2023,100,0.0,0.52,10,Mystery & thriller,0.007485544,-0.010029253,-0.004940319,0.0018215391,0.0017115977,0.0027436626,0.003661716,-0.0066621588,0.0018278591,-0.0029826933,0.009314547,-0.009935442,0.0029332084,-0.021045329,-0.0099321045,0.010537651,0.00662293,0.005694178,-0.009787956,0.0064289733
The Mummy 2017,107,0.15,0.35,317,Action,-0.0079476675,-0.018720862,-0.007860231,-0.023777071,0.0037438727,-0.0034619838,-0.011041622,0.0108459275,0.012613888,-0.014317227,-0.0015932794,0.011855961,0.02496333,-0.013900885,-0.006421488,-0.005326484,-0.0010567016,-0.0075070513,0.0038834375,0.000129851
Heart Of Stone 2023,122,0.3,0.51,136,Action,0.0017046503,0.014682558,-0.009482796,-0.002698162,0.0066873087,-0.0047566844,0.007858371,0.0031765166,0.0063581793,0.004309068,0.0034589819,0.0022567245,0.011531802,-0.0043481346,-0.00969323,0.0054236474,0.015599859,-0.002652581,-0.0048665893,-0.004666388
