Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
The Color Purple,"A story of love and resilience based on the novel and the Broadway musical, THE COLOR PURPLE is a decades-spanning tale of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",Eng,141,Blitz Bazawule,"Oprah Winfrey, Steven Spielberg, Scott Sanders, Quincy Jones",Marcus Gardley,"['Taraji P. Henson', 'Shug Avery', 'Danielle Brooks', 'Sofia', 'Colman Domingo', 'Mister', 'Corey Hawkins', 'Harpo', 'H.E.R.', 'Squeak', 'Halle Bailey', 'Nettie']",Warner Bros. Pictures,"QJP, Amblin Entertainment, SGS Pictures, OW Films",60000000.0,0.83,0.95,232,Musical,"Dec 25, 2023  Wide","Jan 16, 2024",https://www.rottentomatoes.com/m/the_color_purple,"Musical, Drama"
The Beekeeper 2024,"In The Beekeeper, one man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".",Eng,105,David Ayer,"Bill Block, Jason Statham, Chris Long, Kurt Wimmer",Kurt Wimmer,"['Jason Statham', 'Adam Clay', 'Jeremy Irons', 'Wallace Westwyld', 'Emmy Raver-Lampman', 'Agent Verona Parker', 'Bobby Naderi', 'Agent Matt Wiley', 'Josh Hutcherson', 'Derek Danforth', 'Minnie Driver']",MGM,"Miramax, Cedar Park Studios",41500000.0,0.7,0.92,164,Action,"Jan 12, 2024  Wide","Jan 30, 2024",https://www.rottentomatoes.com/m/the_beekeeper_2024,"Action, Mystery & thriller"
Aquaman And The Lost Kingdom,"After failing to defeat Aquaman the first time, Black Manta wields the power of the mythic Black Trident to unleash an ancient and malevolent force. Hoping to end his reign of terror, Aquaman forges an unlikely alliance with his brother, Orm, the former king of Atlantis. Setting aside their differences, they join forces to protect their kingdom and save the world from irreversible destruction.",Eng,124,James Wan,"Peter Safran, James Wan, Rob Cowan",David Leslie Johnson-McGoldrick,"['Jason Momoa', 'Arthur', 'Patrick Wilson', 'Orm', 'Yahya Abdul-Mateen II', 'Black Manta', 'Amber Heard', 'Mera', 'Nicole Kidman', 'Atlanna', 'Randall Park', 'Dr. Shin']",Warner Bros. Pictures,"Atomic Monster, Peter Safran",118000000.0,0.34,0.81,201,Action,"Dec 22, 2023  Wide","Jan 23, 2024",https://www.rottentomatoes.com/m/aquaman_and_the_lost_kingdom,"Action, Adventure, Fantasy"
Napoleon 2023,"""Napoleon"" is a spectacle-filled action epic that details the checkered rise and fall of the iconic French Emperor Napoleon Bonaparte, played by Oscar winner Joaquin Phoenix. Against a stunning backdrop of large-scale filmmaking orchestrated by legendary director Ridley Scott, the film captures Bonaparte's relentless journey to power through the prism of his addictive, volatile relationship with his one true love, Josephine, showcasing his visionary military and political tactics against some of the most dynamic practical battle sequences ever filmed.",Eng,158,Ridley Scott,"Mark Huffam, Ridley Scott, Kevin J. Walsh",David Scarpa,"['Joaquin Phoenix', 'Napoleon Bonaparte', 'Vanessa Kirby', 'Josephine', 'Ben Miles', 'Coulancourt', 'Tahar Rahim', 'Paul Barras', 'Ludivine Sagnier', 'Theresa Cabarrus', 'Ian McNeice']",Apple Original Films / Columbia Pictures,Scott Free Productions,61200000.0,0.58,0.59,328,Biography,"Nov 22, 2023  Wide","Jan 9, 2024",https://www.rottentomatoes.com/m/napoleon_2023,"Biography, History, Drama, War, Action"
Uncharted 2022,"Street-smart thief Nathan Drake (Tom Holland) is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan (Mark Wahlberg) to recover a fortune lost by Ferdinand Magellan 500 years ago. What starts as a heist job for the duo becomes a globe-trotting, white-knuckle race to reach the prize before the ruthless Moncada (Antonio Banderas), who believes he and his family are the rightful heirs. If Nate and Sully can decipher the clues and solve one of the world's oldest mysteries, they stand to find $5 billion in treasure and perhaps even Nate's long-lost brother...but only if they can learn to work together.",Eng,116,Ruben Fleischer,"Charles Roven, Avi Arad, Alex Gartner, Ari Arad","Rafe Judkins, Art Marcum, Matt Holloway","['Tom Holland', 'Nathan Drake', 'Mark Wahlberg', 'Victor Sullivan', 'Sophia Ali', 'Chloe Frazer', 'Tati Gabrielle', 'Braddock', 'Antonio Banderas', 'Santiago Moncada', 'Patricia Meeden', 'Spanish Woman']",Sony Pictures,"PlayStation Productions, Columbia Pictures, Atlas Entertainment, Arad Productions",147700000.0,0.4,0.9,264,Adventure,"Feb 18, 2022  Wide","Apr 26, 2022",https://www.rottentomatoes.com/m/uncharted_2022,"Adventure, Action"
Fast X,"Over many missions and against impossible odds, Dom Toretto (Vin Diesel) and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything--and everyone--that Dom loves, forever.",Eng,141,Louis Leterrier,"Neal H. Moritz, Vin Diesel, Justin Lin, Jeff Kirschenbaum, Samantha Vincent","Justin Lin, Dan Mazeau","['Vin Diesel', 'Dominic Toretto', 'Michelle Rodriguez', 'Letty', 'Tyrese Gibson', 'Roman', 'Ludacris', 'Tej', 'Jason Momoa', 'Dante', 'Nathalie Emmanuel', 'Ramsey']",Universal Pictures,"Universal Studios, Perfect Storm Entertainment, China Film Co., Ltd., Original Film, One Race Films, Roth/Kirschenbaum Films",573900000.0,0.56,0.84,313,Action,"May 19, 2023  Wide","Jun 9, 2023",https://www.rottentomatoes.com/m/fast_x,"Action, Adventure"
Transformers Rise Of The Beasts,"Returning to the action and spectacle that have captured moviegoers around the world, Transformers: Rise of the Beasts will take audiences on a '90s globetrotting adventure with the Autobots and introduce a whole new faction of Transformer -- the Maximals -- to the existing battle on earth between Autobots and Decepticons.",Eng,127,Steven Caple Jr.,"Lorenzo di Bonaventura, Tom DeSanto, Don Murphy, Michael Bay, Mark Vahradian, Duncan Henderson","Joby Harold, Darnell Metayer, Josh Peters, Erich Hoeber, Jon Hoeber","['Anthony Ramos', 'Noah', 'Dominique Fishback', 'Elena', 'Ron Perlman', 'Optimus Primal Voice', 'Michelle Yeoh', 'Maximal Airazor Voice', 'Pete Davidson', 'Mirage Voice', 'Steven Caple Jr.', 'Director']",Paramount Pictures,"New Republic Pictures, Hasbro, Di Bonaventura Pictures, Allspark Pictures, Bay Films, Entertainment One, Paramount, Skydance Media",156700000.0,0.52,0.91,232,Action,"Jun 9, 2023  Wide","Jul 11, 2023",https://www.rottentomatoes.com/m/transformers_rise_of_the_beasts,"Action, Adventure, Sci-fi, Fantasy"
Star Wars The Rise Of Skywalker,"When it's discovered that the evil Emperor Palpatine did not die at the hands of Darth Vader, the rebels must race against the clock to find out his whereabouts. Finn and Poe lead the Resistance to put a stop to the First Order's plans to form a new Empire, while Rey anticipates her inevitable confrontation with Kylo Ren. Warning: Some flashing-lights scenes in this film may affect photosensitive viewers.",Eng,142,J.J. Abrams,"Kathleen Kennedy, J.J. Abrams, Michelle Rejwan","Chris Terrio, J.J. Abrams","['Carrie Fisher', 'Leia Organa', 'Mark Hamill', 'Luke Skywalker', 'Adam Driver', 'Kylo Ren', 'Daisy Ridley', 'Rey', 'John Boyega', 'Finn', 'Oscar Isaac', 'Poe Dameron']",Walt Disney,"Lucasfilm Ltd., Bad Robot",515200000.00000006,0.51,0.86,527,Sci-fi,"Dec 20, 2019  Wide","Dec 20, 2019",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,"Sci-fi, Adventure, Action, Fantasy"
Bullet Train 2022,"In Bullet Train, Brad Pitt stars as Ladybug, an unlucky assassin determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe -- all with connected, yet conflicting, objectives -- on the world's fastest train. From the director of Deadpool 2, David Leitch, the end of the line is only the beginning in a wild, non-stop thrill ride through modern-day Japan.",Eng,126,David Leitch,"Kelly McCormick, David Leitch, Antoine Fuqua",Zak Olkewicz,"['Brad Pitt', 'Ladybug', 'Joey King', 'Prince', 'Aaron Taylor-Johnson', 'Tangerine', 'Brian Tyree Henry', 'Lemon', 'Andrew Koji', 'Kimura', 'Hiroyuki Sanada']",Columbia Pictures,"Sony Pictures Entertainment (SPE), 87North, Hill District Media, CTB Inc.",103100000.0,0.54,0.76,340,Action,"Aug 5, 2022  Wide","Dec 3, 2022",https://www.rottentomatoes.com/m/bullet_train_2022,"Action, Comedy"
Retribution 2023,"Liam Neeson stars in Retribution, an immersive ticking clock thriller that straps audiences in for a high-octane ride of redemption and revenge. When a mysterious caller puts a bomb under his car seat, Matt Turner (Neeson) begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",Eng,90,Nimród Antal,"Jaume Collet-Serra, Juan Solá, Andrew Rona, Alex Heineman",Christopher Salmanpour,"['Liam Neeson', 'Matt Truner', 'Noma Dumezweni', 'Angela Brickmann', 'Matthew Modine', 'Anders Muller', 'Lily Aspell', 'Emily Turner', 'Jack Champion', 'Zach Turner', 'Embeth Davidtz', 'Heather Turner']",Lionsgate / Roadside Attractions,"Vaca Films, TF1 Films Production, Ombra Films, Kismet Media, Cine+, The Picture Company, StudioCanal, Studio Babelsberg, Talent One, Atresmedia Cine",6900000.0,0.29,0.66,93,Action,"Aug 25, 2023  Wide","Sep 15, 2023",https://www.rottentomatoes.com/m/retribution_2023,"Action, Mystery & thriller"
