Title,Synopsis,Original Language,Runtime,Director,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link,All Genres
The Color Purple,"A story of love and resilience based on the novel and the Broadway musical, THE COLOR PURPLE is a decades-spanning tale of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",Eng,141,Blitz Bazawule,"['Taraji P. Henson', 'Shug Avery', 'Danielle Brooks', 'Sofia', 'Colman Domingo', 'Mister', 'Corey Hawkins', 'Harpo', 'H.E.R.', 'Squeak', 'Halle Bailey', 'Nettie']",0.83,0.95,232,Musical,https://www.rottentomatoes.com/m/the_color_purple,"Musical, Drama"
Argylle,"Bryce Dallas Howard (Jurassic World franchise) is Elly Conway, the reclusive author of a series of best-selling espionage novels, whose idea of bliss is a night at home with her computer and her cat, Alfie. But when the plots of Elly's fictional books--which center on secret agent Argylle and his mission to unravel a global spy syndicate--begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by Aidan (Oscar® winner Sam Rockwell), a cat-allergic spy, Elly (carrying Alfie in her backpack) races across the world to stay one step ahead of the killers as the line between Elly's fictional world and her real one begins to blur.",Eng,139,Matthew Vaughn,"['Bryce Dallas Howard', 'Elly Conway', 'Sam Rockwell', 'Aidan', 'Henry Cavill', 'Argylle', 'John Cena', 'Dua Lipa', 'Bryan Cranston']",0.33,0.71,249,Action,https://www.rottentomatoes.com/m/argylle,"Action, Comedy, Drama, Mystery & thriller"
The Beekeeper 2024,"In The Beekeeper, one man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".",Eng,105,David Ayer,"['Jason Statham', 'Adam Clay', 'Jeremy Irons', 'Wallace Westwyld', 'Emmy Raver-Lampman', 'Agent Verona Parker', 'Bobby Naderi', 'Agent Matt Wiley', 'Josh Hutcherson', 'Derek Danforth', 'Minnie Driver']",0.7,0.92,164,Action,https://www.rottentomatoes.com/m/the_beekeeper_2024,"Action, Mystery & thriller"
Aquaman And The Lost Kingdom,"After failing to defeat Aquaman the first time, Black Manta wields the power of the mythic Black Trident to unleash an ancient and malevolent force. Hoping to end his reign of terror, Aquaman forges an unlikely alliance with his brother, Orm, the former king of Atlantis. Setting aside their differences, they join forces to protect their kingdom and save the world from irreversible destruction.",Eng,124,James Wan,"['Jason Momoa', 'Arthur', 'Patrick Wilson', 'Orm', 'Yahya Abdul-Mateen II', 'Black Manta', 'Amber Heard', 'Mera', 'Nicole Kidman', 'Atlanna', 'Randall Park', 'Dr. Shin']",0.34,0.81,201,Action,https://www.rottentomatoes.com/m/aquaman_and_the_lost_kingdom,"Action, Adventure, Fantasy"
Lift 2024,"An international heist crew is recruited to prevent a terrorist attack, and must pull off the heist on a plane mid-flight.",Eng,104,F. Gary Gray,"['Kevin Hart', 'Gugu Mbatha-Raw', ""Vincent D'Onofrio"", 'Úrsula Corberó', 'Billy Magnussen', 'Sam Worthington']",0.28,0.31,69,Action,https://www.rottentomatoes.com/m/lift_2024,"Action, Comedy, Crime, Drama"
Napoleon 2023,"""Napoleon"" is a spectacle-filled action epic that details the checkered rise and fall of the iconic French Emperor Napoleon Bonaparte, played by Oscar winner Joaquin Phoenix. Against a stunning backdrop of large-scale filmmaking orchestrated by legendary director Ridley Scott, the film captures Bonaparte's relentless journey to power through the prism of his addictive, volatile relationship with his one true love, Josephine, showcasing his visionary military and political tactics against some of the most dynamic practical battle sequences ever filmed.",Eng,158,Ridley Scott,"['Joaquin Phoenix', 'Napoleon Bonaparte', 'Vanessa Kirby', 'Josephine', 'Ben Miles', 'Coulancourt', 'Tahar Rahim', 'Paul Barras', 'Ludivine Sagnier', 'Theresa Cabarrus', 'Ian McNeice']",0.58,0.59,328,Biography,https://www.rottentomatoes.com/m/napoleon_2023,"Biography, History, Drama, War, Action"
Rebel Moon Part 1 A Child Of Fire,"From Zack Snyder, the filmmaker behind 300, Man of Steel, and Army of the Dead, comes REBEL MOON, an epic science-fantasy event decades in the making. When a peaceful colony on the edge of a galaxy finds itself threatened by the armies of a tyrannical ruling force, Kora (Sofia Boutella), a mysterious stranger living among the villagers, becomes their best hope for survival. Tasked with finding trained fighters who will unite with her in making an impossible stand against the Mother World, Kora assembles a small band of warriors -- outsiders, insurgents, peasants and orphans of war from different worlds who share a common need for redemption and revenge. As the shadow of an entire Realm bears down on the unlikeliest of moons, a battle over the fate of a galaxy is waged, and in the process, a new army of heroes is formed.",Eng,135,Zack Snyder,"['Sofia Boutella', 'Kora', 'Djimon Hounsou', 'General Titus', 'Ed Skrein', 'Balisarius', 'Michiel Huisman', 'Bae Doo-na', 'Ray Fisher', 'Blood Axe']",0.22,0.58,172,Sci-fi,https://www.rottentomatoes.com/m/rebel_moon_part_1_a_child_of_fire,"Sci-fi, Action, Adventure, Drama, Fantasy"
Uncharted 2022,"Street-smart thief Nathan Drake (Tom Holland) is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan (Mark Wahlberg) to recover a fortune lost by Ferdinand Magellan 500 years ago. What starts as a heist job for the duo becomes a globe-trotting, white-knuckle race to reach the prize before the ruthless Moncada (Antonio Banderas), who believes he and his family are the rightful heirs. If Nate and Sully can decipher the clues and solve one of the world's oldest mysteries, they stand to find $5 billion in treasure and perhaps even Nate's long-lost brother...but only if they can learn to work together.",Eng,116,Ruben Fleischer,"['Tom Holland', 'Nathan Drake', 'Mark Wahlberg', 'Victor Sullivan', 'Sophia Ali', 'Chloe Frazer', 'Tati Gabrielle', 'Braddock', 'Antonio Banderas', 'Santiago Moncada', 'Patricia Meeden', 'Spanish Woman']",0.4,0.9,264,Adventure,https://www.rottentomatoes.com/m/uncharted_2022,"Adventure, Action"
Fast X,"Over many missions and against impossible odds, Dom Toretto (Vin Diesel) and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything--and everyone--that Dom loves, forever.",Eng,141,Louis Leterrier,"['Vin Diesel', 'Dominic Toretto', 'Michelle Rodriguez', 'Letty', 'Tyrese Gibson', 'Roman', 'Ludacris', 'Tej', 'Jason Momoa', 'Dante', 'Nathalie Emmanuel', 'Ramsey']",0.56,0.84,313,Action,https://www.rottentomatoes.com/m/fast_x,"Action, Adventure"
Dangerous Waters 2023,"A sailing adventure spirals out of control in this tightly wound-survival thriller. 19-year-old Rose (Odeya Rush) lives a tough, small-town life in Florida with her single mother Alma (Saffron Burrows). Their luck seems to take a turn when Alma's new businessman boyfriend, Derek (Eric Dane), whisks them away on a sailing adventure to Bermuda. While at sea, Derek's ""business"" is revealed to be less than legitimate when their boat is attacked by savage villains, set on fire, and Alma is viciously killed. Distraught and persecuted by Derek and The Captain (Ray Liotta), Rose unearths a primal instinct of survival and a terrifying need for vengeance. She will not yield until those responsible for her mother's murder are dead.",Eng,101,John Barr,"['Odeya Rush', 'Rose', 'Eric Dane', 'Derek', 'Saffron Burrows', 'Alma', 'Ray Liotta', 'Sala Baker', 'John', 'Alexya Garcia', 'Henchwoman Roberta']",0.29,0.38,14,Mystery & thriller,https://www.rottentomatoes.com/m/dangerous_waters_2023,"Mystery & thriller, Action, Adventure"
