,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
0,The Color Purple,"A story of love and resilience based on the novel and the Broadway musical, THE COLOR PURPLE is a decades-spanning tale of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.", English, 2h 21m, Blitz Bazawule, Marcus Gardley,"['Taraji P. Henson', 'Shug Avery', 'Danielle Brooks', 'Sofia', 'Colman Domingo', 'Mister', 'Corey Hawkins', 'Harpo', 'H.E.R.', 'Squeak', 'Halle Bailey', 'Nettie']",83%,95%,232," Musical, Drama",https://www.rottentomatoes.com/m/the_color_purple
1,Argylle,"Bryce Dallas Howard (Jurassic World franchise) is Elly Conway, the reclusive author of a series of best-selling espionage novels, whose idea of bliss is a night at home with her computer and her cat, Alfie. But when the plots of Elly's fictional books--which center on secret agent Argylle and his mission to unravel a global spy syndicate--begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by Aidan (Oscar® winner Sam Rockwell), a cat-allergic spy, Elly (carrying Alfie in her backpack) races across the world to stay one step ahead of the killers as the line between Elly's fictional world and her real one begins to blur.", English, 2h 19m, Matthew Vaughn, Jason Fuchs,"['Bryce Dallas Howard', 'Elly Conway', 'Sam Rockwell', 'Aidan', 'Henry Cavill', 'Argylle', 'John Cena', 'Dua Lipa', 'Bryan Cranston']",33%,71%,249," Action, Comedy, Drama, Mystery & thriller",https://www.rottentomatoes.com/m/argylle
2,The Beekeeper 2024,"In The Beekeeper, one man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".", English, 1h 45m, David Ayer, Kurt Wimmer,"['Jason Statham', 'Adam Clay', 'Jeremy Irons', 'Wallace Westwyld', 'Emmy Raver-Lampman', 'Agent Verona Parker', 'Bobby Naderi', 'Agent Matt Wiley', 'Josh Hutcherson', 'Derek Danforth', 'Minnie Driver']",70%,92%,164," Action, Mystery & thriller",https://www.rottentomatoes.com/m/the_beekeeper_2024
3,Aquaman And The Lost Kingdom,"After failing to defeat Aquaman the first time, Black Manta wields the power of the mythic Black Trident to unleash an ancient and malevolent force. Hoping to end his reign of terror, Aquaman forges an unlikely alliance with his brother, Orm, the former king of Atlantis. Setting aside their differences, they join forces to protect their kingdom and save the world from irreversible destruction.", English, 2h 4m, James Wan, David Leslie Johnson-McGoldrick,"['Jason Momoa', 'Arthur', 'Patrick Wilson', 'Orm', 'Yahya Abdul-Mateen II', 'Black Manta', 'Amber Heard', 'Mera', 'Nicole Kidman', 'Atlanna', 'Randall Park', 'Dr. Shin']",34%,81%,201," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/aquaman_and_the_lost_kingdom
4,Lift 2024,"An international heist crew is recruited to prevent a terrorist attack, and must pull off the heist on a plane mid-flight.", English, 1h 44m, F. Gary Gray," Jeremy Doner, Daniel Kunka","['Kevin Hart', 'Gugu Mbatha-Raw', ""Vincent D'Onofrio"", 'Úrsula Corberó', 'Billy Magnussen', 'Sam Worthington']",28%,31%,69," Action, Comedy, Crime, Drama",https://www.rottentomatoes.com/m/lift_2024
5,Napoleon 2023,"""Napoleon"" is a spectacle-filled action epic that details the checkered rise and fall of the iconic French Emperor Napoleon Bonaparte, played by Oscar winner Joaquin Phoenix. Against a stunning backdrop of large-scale filmmaking orchestrated by legendary director Ridley Scott, the film captures Bonaparte's relentless journey to power through the prism of his addictive, volatile relationship with his one true love, Josephine, showcasing his visionary military and political tactics against some of the most dynamic practical battle sequences ever filmed.", English, 2h 38m, Ridley Scott, David Scarpa,"['Joaquin Phoenix', 'Napoleon Bonaparte', 'Vanessa Kirby', 'Josephine', 'Ben Miles', 'Coulancourt', 'Tahar Rahim', 'Paul Barras', 'Ludivine Sagnier', 'Theresa Cabarrus', 'Ian McNeice']",58%,59%,328," Biography, History, Drama, War, Action",https://www.rottentomatoes.com/m/napoleon_2023
6,Rebel Moon Part 1 A Child Of Fire,"From Zack Snyder, the filmmaker behind 300, Man of Steel, and Army of the Dead, comes REBEL MOON, an epic science-fantasy event decades in the making. When a peaceful colony on the edge of a galaxy finds itself threatened by the armies of a tyrannical ruling force, Kora (Sofia Boutella), a mysterious stranger living among the villagers, becomes their best hope for survival. Tasked with finding trained fighters who will unite with her in making an impossible stand against the Mother World, Kora assembles a small band of warriors -- outsiders, insurgents, peasants and orphans of war from different worlds who share a common need for redemption and revenge. As the shadow of an entire Realm bears down on the unlikeliest of moons, a battle over the fate of a galaxy is waged, and in the process, a new army of heroes is formed.", English, 2h 15m, Zack Snyder," Shay Hatten, Kurt Johnstad, Zack Snyder","['Sofia Boutella', 'Kora', 'Djimon Hounsou', 'General Titus', 'Ed Skrein', 'Balisarius', 'Michiel Huisman', 'Bae Doo-na', 'Ray Fisher', 'Blood Axe']",22%,58%,172," Sci-fi, Action, Adventure, Drama, Fantasy",https://www.rottentomatoes.com/m/rebel_moon_part_1_a_child_of_fire
7,Uncharted 2022,"Street-smart thief Nathan Drake (Tom Holland) is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan (Mark Wahlberg) to recover a fortune lost by Ferdinand Magellan 500 years ago. What starts as a heist job for the duo becomes a globe-trotting, white-knuckle race to reach the prize before the ruthless Moncada (Antonio Banderas), who believes he and his family are the rightful heirs. If Nate and Sully can decipher the clues and solve one of the world's oldest mysteries, they stand to find $5 billion in treasure and perhaps even Nate's long-lost brother...but only if they can learn to work together.", English, 1h 56m, Ruben Fleischer," Rafe Judkins, Art Marcum, Matt Holloway","['Tom Holland', 'Nathan Drake', 'Mark Wahlberg', 'Victor Sullivan', 'Sophia Ali', 'Chloe Frazer', 'Tati Gabrielle', 'Braddock', 'Antonio Banderas', 'Santiago Moncada', 'Patricia Meeden', 'Spanish Woman']",40%,90%,264," Adventure, Action",https://www.rottentomatoes.com/m/uncharted_2022
8,Fast X,"Over many missions and against impossible odds, Dom Toretto (Vin Diesel) and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything--and everyone--that Dom loves, forever.", English, 2h 21m, Louis Leterrier," Justin Lin, Dan Mazeau","['Vin Diesel', 'Dominic Toretto', 'Michelle Rodriguez', 'Letty', 'Tyrese Gibson', 'Roman', 'Ludacris', 'Tej', 'Jason Momoa', 'Dante', 'Nathalie Emmanuel', 'Ramsey']",56%,84%,313," Action, Adventure",https://www.rottentomatoes.com/m/fast_x
9,Dangerous Waters 2023,"A sailing adventure spirals out of control in this tightly wound-survival thriller. 19-year-old Rose (Odeya Rush) lives a tough, small-town life in Florida with her single mother Alma (Saffron Burrows). Their luck seems to take a turn when Alma's new businessman boyfriend, Derek (Eric Dane), whisks them away on a sailing adventure to Bermuda. While at sea, Derek's ""business"" is revealed to be less than legitimate when their boat is attacked by savage villains, set on fire, and Alma is viciously killed. Distraught and persecuted by Derek and The Captain (Ray Liotta), Rose unearths a primal instinct of survival and a terrifying need for vengeance. She will not yield until those responsible for her mother's murder are dead.", English, 1h 41m, John Barr, Mark Jackson,"['Odeya Rush', 'Rose', 'Eric Dane', 'Derek', 'Saffron Burrows', 'Alma', 'Ray Liotta', 'Sala Baker', 'John', 'Alexya Garcia', 'Henchwoman Roberta']",29%,38%,14," Mystery & thriller, Action, Adventure",https://www.rottentomatoes.com/m/dangerous_waters_2023
10,Transformers Rise Of The Beasts,"Returning to the action and spectacle that have captured moviegoers around the world, Transformers: Rise of the Beasts will take audiences on a '90s globetrotting adventure with the Autobots and introduce a whole new faction of Transformer -- the Maximals -- to the existing battle on earth between Autobots and Decepticons.", English, 2h 7m, Steven Caple Jr.," Joby Harold, Darnell Metayer, Josh Peters, Erich Hoeber, Jon Hoeber","['Anthony Ramos', 'Noah', 'Dominique Fishback', 'Elena', 'Ron Perlman', 'Optimus Primal Voice', 'Michelle Yeoh', 'Maximal Airazor Voice', 'Pete Davidson', 'Mirage Voice', 'Steven Caple Jr.', 'Director']",52%,91%,232," Action, Adventure, Sci-fi, Fantasy",https://www.rottentomatoes.com/m/transformers_rise_of_the_beasts
11,Star Wars The Rise Of Skywalker,"When it's discovered that the evil Emperor Palpatine did not die at the hands of Darth Vader, the rebels must race against the clock to find out his whereabouts. Finn and Poe lead the Resistance to put a stop to the First Order's plans to form a new Empire, while Rey anticipates her inevitable confrontation with Kylo Ren. Warning: Some flashing-lights scenes in this film may affect photosensitive viewers.", English, 2h 22m, J.J. Abrams," Chris Terrio, J.J. Abrams","['Carrie Fisher', 'Leia Organa', 'Mark Hamill', 'Luke Skywalker', 'Adam Driver', 'Kylo Ren', 'Daisy Ridley', 'Rey', 'John Boyega', 'Finn', 'Oscar Isaac', 'Poe Dameron']",51%,86%,527," Sci-fi, Adventure, Action, Fantasy",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
12,Bullet Train 2022,"In Bullet Train, Brad Pitt stars as Ladybug, an unlucky assassin determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe -- all with connected, yet conflicting, objectives -- on the world's fastest train. From the director of Deadpool 2, David Leitch, the end of the line is only the beginning in a wild, non-stop thrill ride through modern-day Japan.", English, 2h 6m, David Leitch, Zak Olkewicz,"['Brad Pitt', 'Ladybug', 'Joey King', 'Prince', 'Aaron Taylor-Johnson', 'Tangerine', 'Brian Tyree Henry', 'Lemon', 'Andrew Koji', 'Kimura', 'Hiroyuki Sanada']",54%,76%,340," Action, Comedy",https://www.rottentomatoes.com/m/bullet_train_2022
13,Retribution 2023,"Liam Neeson stars in Retribution, an immersive ticking clock thriller that straps audiences in for a high-octane ride of redemption and revenge. When a mysterious caller puts a bomb under his car seat, Matt Turner (Neeson) begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.", English, 1h 30m, Nimród Antal, Christopher Salmanpour,"['Liam Neeson', 'Matt Truner', 'Noma Dumezweni', 'Angela Brickmann', 'Matthew Modine', 'Anders Muller', 'Lily Aspell', 'Emily Turner', 'Jack Champion', 'Zach Turner', 'Embeth Davidtz', 'Heather Turner']",29%,66%,93," Action, Mystery & thriller",https://www.rottentomatoes.com/m/retribution_2023
14,The Bricklayer 2023,"The Bricklayer follows a rogue insurgent blackmailing the CIA by assassinating foreign journalists and making it appear the agency is responsible. As other nations begin turning against the U.S., the CIA must lure Steve Vail (Aaron Eckhart) -- their most brilliant and rebellious operative -- out of retirement. With an elite and deadly skill set, Vail is tasked with helping clear the agency's name, forcing him to confront his checkered past while unraveling an international conspiracy.", English, 1h 50m, Renny Harlin," Hanna Weg, Matt Johnson","['Aaron Eckhart', 'Vail', 'Nina Dobrev', 'Kate', 'Clifton Collins Jr.', 'Radek', 'Tim Blake Nelson', ""O'Malley"", 'Ilfenesh Hadera', 'Tye', 'Oliver Trevena', 'Patricio']",55%,42%,20," Action, Mystery & thriller",https://www.rottentomatoes.com/m/the_bricklayer_2023
15,Hypnotic 2023,"Determined to find his missing daughter, Austin detective Danny Rourke finds himself spiraling down a rabbit hole investigating a series of reality-bending crimes where he will ultimately call into question his most basic assumptions about everything and everyone in his world. Aided by Diana Cruz, a gifted psychic, Rourke simultaneously pursues and is pursued by a lethal specter -- the one man he believes holds the key to finding the missing girl -- only to discover more than he ever bargained for.", English, 1h 32m, Robert Rodriguez," Robert Rodriguez, Max Borenstein","['Ben Affleck', 'Daniel Rourke', 'Alice Braga', 'Diana Cruz', 'JD Pardo', 'Nicks', 'Hala Finley', 'Minnie', 'Jackie Earle Haley', 'Jeremiah', 'William Fichtner', 'Dellrayne']",32%,62%,114," Mystery & thriller, Action",https://www.rottentomatoes.com/m/hypnotic_2023
16,Ghosted 2023,"Salt-of-the-earth Cole (Chris Evans) falls head over heels for enigmatic Sadie (Ana de Armas)--but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.", English, 1h 56m, Dexter Fletcher," Chris McKenna, Rhett Reese, Paul Wernick","['Chris Evans', 'Cole Turner', 'Ana de Armas', 'Sadie', 'Adrien Brody', 'Leveque', 'Mike Moh', 'Wagner', 'Amy Sedaris', 'Mom', 'Tate Donovan', 'Dad']",25%,55%,118," Action, Romance, Adventure",https://www.rottentomatoes.com/m/ghosted_2023
17,Eternals,"Marvel Studios' Eternals features an exciting new team of Super Heroes in the Marvel Cinematic Universe, ancient aliens who have been living on Earth in secret for thousands of years. Following the events of Avengers: Endgame, an unexpected tragedy forces them out of the shadows to reunite against mankind's most ancient enemy, the Deviants.", English, 2h 37m, Chloé Zhao," Chloé Zhao, Ryan Firpo, Kaz Firpo","['Angelina Jolie', 'Thena', 'Salma Hayek', 'Ajak', 'Kit Harington', 'Dane Whitman', 'Gemma Chan', 'Sersi', 'Richard Madden', 'Ikaris', 'Kumail Nanjiani', 'Kingo']",47%,77%,412," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/eternals
18,The Gray Man 2022,"When the CIA's most skilled mercenary--whose true identity is known to none--accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.", English, 2h 9m," Anthony Russo, Joe Russo"," Joe Russo, Christopher Markus, Stephen McFeely","['Ryan Gosling', 'Six', 'Chris Evans', 'Lloyd Hansen', 'Ana de Armas', 'Dani Miranda', 'Regé-Jean Page', 'Carmichael', 'Billy Bob Thornton', 'Wagner Moura']",45%,90%,273," Action, Mystery & thriller",https://www.rottentomatoes.com/m/the_gray_man_2022
19,Renfield,"In this modern monster tale of Dracula's loyal servant, Nicholas Hoult (Mad Max: Fury Road, X-Men franchise) stars as Renfield, the tortured aide to history's most narcissistic boss, Dracula (Oscar® winner Nicolas Cage). Renfield is forced to procure his master's prey and do his every bidding, no matter how debased. But now, after centuries of servitude, Renfield is ready to see if there's a life outside the shadow of The Prince of Darkness. If only he can figure out how to end his codependency.", English, 1h 33m, Chris McKay, Ryan Ridley,"['Nicolas Cage', 'Dracula', 'Nicholas Hoult', 'Renfield', 'Awkwafina', 'Rebecca Quincy', 'Ben Schwartz', 'Teddy Lobo', 'Adrian Martinez', 'Chris Marcos', 'Shohreh Aghdashloo']",58%,79%,301," Horror, Action, Comedy, Fantasy",https://www.rottentomatoes.com/m/renfield
